MapDate,AreaOfInterest,OT,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,date,start_date,end_date
20200616,Total,63.27,36.73,19.61,8.31,1.9,0.0,2020-06-16,2020-06-22,1,2020-06-16,2020-06-16,2020-06-22
20200609,Total,67.53,32.47,17.89,7.06,1.5,0.0,2020-06-09,2020-06-15,1,2020-06-09,2020-06-09,2020-06-15
20200602,Total,69.84,30.16,16.7,6.45,1.07,0.0,2020-06-02,2020-06-08,1,2020-06-02,2020-06-02,2020-06-08
20200526,Total,71.1,28.9,15.49,6.0,1.03,0.0,2020-05-26,2020-06-01,1,2020-05-26,2020-05-26,2020-06-01
20200519,Total,70.1,29.9,15.8,6.1,1.09,0.0,2020-05-19,2020-05-25,1,2020-05-19,2020-05-19,2020-05-25
20200512,Total,71.28,28.72,14.56,5.93,1.01,0.0,2020-05-12,2020-05-18,1,2020-05-12,2020-05-12,2020-05-18
20200505,Total,74.25,25.75,13.44,5.24,0.81,0.0,2020-05-05,2020-05-11,1,2020-05-05,2020-05-05,2020-05-11
20200428,Total,76.0,24.0,12.33,4.72,0.39,0.0,2020-04-28,2020-05-04,1,2020-04-28,2020-04-28,2020-05-04
20200421,Total,77.5,22.5,12.27,4.72,0.41,0.0,2020-04-21,2020-04-27,1,2020-04-21,2020-04-21,2020-04-27
20200414,Total,78.62,21.38,12.14,3.63,0.13,0.01,2020-04-14,2020-04-20,1,2020-04-14,2020-04-14,2020-04-20
20200407,Total,78.67,21.33,12.43,2.38,0.18,0.01,2020-04-07,2020-04-13,1,2020-04-07,2020-04-07,2020-04-13
20200331,Total,78.92,21.08,12.15,2.54,0.4,0.03,2020-03-31,2020-04-06,1,2020-03-31,2020-03-31,2020-04-06
20200324,Total,79.05,20.95,9.9,2.36,0.33,0.03,2020-03-24,2020-03-30,1,2020-03-24,2020-03-24,2020-03-30
20200317,Total,79.17,20.83,10.53,2.42,0.51,0.02,2020-03-17,2020-03-23,1,2020-03-17,2020-03-17,2020-03-23
20200310,Total,79.69,20.31,10.75,2.17,0.43,0.0,2020-03-10,2020-03-16,1,2020-03-10,2020-03-10,2020-03-16
20200303,Total,79.1,20.9,9.63,2.1,0.43,0.0,2020-03-03,2020-03-09,1,2020-03-03,2020-03-03,2020-03-09
20200225,Total,79.74,20.26,8.5,1.88,0.2,0.0,2020-02-25,2020-03-02,1,2020-02-25,2020-02-25,2020-03-02
20200218,Total,79.05,20.95,7.99,2.09,0.2,0.0,2020-02-18,2020-02-24,1,2020-02-18,2020-02-18,2020-02-24
20200211,Total,78.22,21.78,8.87,2.15,0.14,0.0,2020-02-11,2020-02-17,1,2020-02-11,2020-02-11,2020-02-17
20200204,Total,76.93,23.07,8.88,2.06,0.06,0.0,2020-02-04,2020-02-10,1,2020-02-04,2020-02-04,2020-02-10
20200128,Total,76.11,23.89,9.2,2.01,0.04,0.0,2020-01-28,2020-02-03,1,2020-01-28,2020-01-28,2020-02-03
20200121,Total,78.18,21.82,9.6,2.84,0.06,0.0,2020-01-21,2020-01-27,1,2020-01-21,2020-01-21,2020-01-27
20200114,Total,79.49,20.51,9.12,2.61,0.1,0.0,2020-01-14,2020-01-20,1,2020-01-14,2020-01-14,2020-01-20
20200107,Total,78.78,21.22,9.53,2.7,0.1,0.0,2020-01-07,2020-01-13,1,2020-01-07,2020-01-07,2020-01-13
20191231,Total,78.53,21.47,9.53,3.21,0.06,0.0,2019-12-31,2020-01-06,1,2019-12-31,2019-12-31,2020-01-06
20191224,Total,77.34,22.66,10.45,3.5,0.09,0.0,2019-12-24,2019-12-30,1,2019-12-24,2019-12-24,2019-12-30
20191217,Total,76.14,23.86,10.74,3.41,0.09,0.0,2019-12-17,2019-12-23,1,2019-12-17,2019-12-17,2019-12-23
20191210,Total,75.27,24.73,9.46,3.73,0.09,0.0,2019-12-10,2019-12-16,1,2019-12-10,2019-12-10,2019-12-16
20191203,Total,72.03,27.97,9.91,3.85,0.09,0.0,2019-12-03,2019-12-09,1,2019-12-03,2019-12-03,2019-12-09
20191126,Total,70.89,29.11,11.95,4.8,0.16,0.0,2019-11-26,2019-12-02,1,2019-11-26,2019-11-26,2019-12-02
20191119,Total,73.58,26.42,12.2,4.84,0.16,0.0,2019-11-19,2019-11-25,1,2019-11-19,2019-11-19,2019-11-25
20191112,Total,73.37,26.63,12.92,4.93,0.04,0.0,2019-11-12,2019-11-18,1,2019-11-12,2019-11-12,2019-11-18
20191105,Total,75.01,24.99,13.75,5.28,0.44,0.0,2019-11-05,2019-11-11,1,2019-11-05,2019-11-05,2019-11-11
20191029,Total,70.15,29.85,15.59,6.51,0.43,0.0,2019-10-29,2019-11-04,1,2019-10-29,2019-10-29,2019-11-04
20191022,Total,67.01,32.99,18.36,7.45,0.77,0.0,2019-10-22,2019-10-28,1,2019-10-22,2019-10-22,2019-10-28
20191015,Total,64.96,35.04,18.52,7.99,1.24,0.0,2019-10-15,2019-10-21,1,2019-10-15,2019-10-15,2019-10-21
20191008,Total,67.35,32.65,17.88,6.66,1.15,0.0,2019-10-08,2019-10-14,1,2019-10-08,2019-10-08,2019-10-14
20191001,Total,65.15,34.85,16.96,5.3,0.8,0.0,2019-10-01,2019-10-07,1,2019-10-01,2019-10-01,2019-10-07
20190924,Total,64.43,35.57,16.23,3.72,0.4,0.0,2019-09-24,2019-09-30,1,2019-09-24,2019-09-24,2019-09-30
20190917,Total,67.47,32.53,13.72,3.9,0.51,0.0,2019-09-17,2019-09-23,1,2019-09-17,2019-09-17,2019-09-23
20190910,Total,69.27,30.73,14.28,3.46,0.5,0.0,2019-09-10,2019-09-16,1,2019-09-10,2019-09-10,2019-09-16
20190903,Total,70.19,29.81,11.33,2.34,0.41,0.0,2019-09-03,2019-09-09,1,2019-09-03,2019-09-03,2019-09-09
20190827,Total,71.2,28.8,10.52,2.31,0.38,0.0,2019-08-27,2019-09-02,1,2019-08-27,2019-08-27,2019-09-02
20190820,Total,72.41,27.59,7.95,1.79,0.26,0.0,2019-08-20,2019-08-26,1,2019-08-20,2019-08-20,2019-08-26
20190813,Total,74.7,25.3,6.79,1.38,0.16,0.0,2019-08-13,2019-08-19,1,2019-08-13,2019-08-13,2019-08-19
20190806,Total,76.05,23.95,5.59,0.8,0.14,0.0,2019-08-06,2019-08-12,1,2019-08-06,2019-08-06,2019-08-12
20190730,Total,77.16,22.84,6.93,1.31,0.14,0.0,2019-07-30,2019-08-05,1,2019-07-30,2019-07-30,2019-08-05
20190723,Total,79.49,20.51,6.58,1.33,0.14,0.0,2019-07-23,2019-07-29,1,2019-07-23,2019-07-23,2019-07-29
20190716,Total,80.42,19.58,6.56,0.87,0.14,0.0,2019-07-16,2019-07-22,1,2019-07-16,2019-07-16,2019-07-22
20190709,Total,80.66,19.34,3.63,0.81,0.14,0.0,2019-07-09,2019-07-15,1,2019-07-09,2019-07-09,2019-07-15
20190702,Total,89.5,10.5,3.25,0.77,0.14,0.0,2019-07-02,2019-07-08,1,2019-07-02,2019-07-02,2019-07-08
20190625,Total,89.37,10.63,3.32,0.82,0.14,0.0,2019-06-25,2019-07-01,1,2019-06-25,2019-06-25,2019-07-01
20190618,Total,88.85,11.15,3.99,0.77,0.14,0.0,2019-06-18,2019-06-24,1,2019-06-18,2019-06-18,2019-06-24
20190611,Total,90.04,9.96,3.99,0.54,0.14,0.0,2019-06-11,2019-06-17,1,2019-06-11,2019-06-11,2019-06-17
20190604,Total,88.06,11.94,4.97,0.7,0.14,0.0,2019-06-04,2019-06-10,1,2019-06-04,2019-06-04,2019-06-10
20190528,Total,88.74,11.26,3.33,0.28,0.14,0.0,2019-05-28,2019-06-03,1,2019-05-28,2019-05-28,2019-06-03
20190521,Total,91.01,8.99,2.71,0.27,0.14,0.0,2019-05-21,2019-05-27,1,2019-05-21,2019-05-21,2019-05-27
20190514,Total,91.5,8.5,2.41,0.19,0.0,0.0,2019-05-14,2019-05-20,1,2019-05-14,2019-05-14,2019-05-20
20190507,Total,90.68,9.32,2.53,0.2,0.0,0.0,2019-05-07,2019-05-13,1,2019-05-07,2019-05-07,2019-05-13
20190430,Total,89.58,10.42,2.63,0.51,0.0,0.0,2019-04-30,2019-05-06,1,2019-04-30,2019-04-30,2019-05-06
20190423,Total,88.55,11.45,2.58,0.54,0.0,0.0,2019-04-23,2019-04-29,1,2019-04-23,2019-04-23,2019-04-29
20190416,Total,87.07,12.93,3.78,0.86,0.0,0.0,2019-04-16,2019-04-22,1,2019-04-16,2019-04-16,2019-04-22
20190409,Total,83.72,16.28,4.31,0.86,0.0,0.0,2019-04-09,2019-04-15,1,2019-04-09,2019-04-09,2019-04-15
20190402,Total,81.59,18.41,5.43,1.05,0.0,0.0,2019-04-02,2019-04-08,1,2019-04-02,2019-04-02,2019-04-08
20190326,Total,83.47,16.53,4.69,1.03,0.0,0.0,2019-03-26,2019-04-01,1,2019-03-26,2019-03-26,2019-04-01
20190319,Total,83.28,16.72,4.63,1.29,0.27,0.0,2019-03-19,2019-03-25,1,2019-03-19,2019-03-19,2019-03-25
20190312,Total,80.6,19.4,6.03,1.77,0.44,0.03,2019-03-12,2019-03-18,1,2019-03-12,2019-03-12,2019-03-18
20190305,Total,76.82,23.18,10.44,2.65,0.44,0.03,2019-03-05,2019-03-11,1,2019-03-05,2019-03-05,2019-03-11
20190226,Total,76.6,23.4,10.65,3.53,0.46,0.03,2019-02-26,2019-03-04,1,2019-02-26,2019-02-26,2019-03-04
20190219,Total,73.92,26.08,13.08,5.01,1.11,0.05,2019-02-19,2019-02-25,1,2019-02-19,2019-02-19,2019-02-25
20190212,Total,71.95,28.05,13.56,5.39,1.6,0.05,2019-02-12,2019-02-18,1,2019-02-12,2019-02-12,2019-02-18
20190205,Total,73.63,26.37,13.63,5.8,1.6,0.14,2019-02-05,2019-02-11,1,2019-02-05,2019-02-05,2019-02-11
20190129,Total,73.91,26.09,14.27,5.81,1.6,0.13,2019-01-29,2019-02-04,1,2019-01-29,2019-01-29,2019-02-04
20190122,Total,72.91,27.09,17.08,6.9,1.65,0.13,2019-01-22,2019-01-28,1,2019-01-22,2019-01-22,2019-01-28
20190115,Total,72.6,27.4,18.49,8.54,2.58,0.93,2019-01-15,2019-01-21,1,2019-01-15,2019-01-15,2019-01-21
20190108,Total,73.47,26.53,18.47,8.94,2.63,0.93,2019-01-08,2019-01-14,1,2019-01-08,2019-01-08,2019-01-14
20190101,Total,73.06,26.94,18.69,9.13,2.75,0.95,2019-01-01,2019-01-07,1,2019-01-01,2019-01-01,2019-01-07
20181225,Total,70.52,29.48,19.18,9.51,2.8,0.96,2018-12-25,2018-12-31,1,2018-12-25,2018-12-25,2018-12-31
20181218,Total,71.23,28.77,19.37,9.69,3.11,0.96,2018-12-18,2018-12-24,1,2018-12-18,2018-12-18,2018-12-24
20181211,Total,71.52,28.48,19.34,9.69,3.14,0.98,2018-12-11,2018-12-17,1,2018-12-11,2018-12-11,2018-12-17
20181204,Total,71.76,28.24,18.91,9.81,3.17,0.98,2018-12-04,2018-12-10,1,2018-12-04,2018-12-04,2018-12-10
20181127,Total,70.6,29.4,19.48,9.88,3.57,1.1,2018-11-27,2018-12-03,1,2018-11-27,2018-11-27,2018-12-03
20181120,Total,70.95,29.05,19.11,9.91,3.59,1.1,2018-11-20,2018-11-26,1,2018-11-20,2018-11-20,2018-11-26
20181113,Total,69.67,30.33,17.87,9.99,3.58,1.1,2018-11-13,2018-11-19,1,2018-11-13,2018-11-13,2018-11-19
20181106,Total,69.26,30.74,18.13,10.21,3.61,1.12,2018-11-06,2018-11-12,1,2018-11-06,2018-11-06,2018-11-12
20181030,Total,68.48,31.52,18.76,10.83,3.89,1.13,2018-10-30,2018-11-05,1,2018-10-30,2018-10-30,2018-11-05
20181023,Total,67.19,32.81,20.36,11.39,4.01,1.13,2018-10-23,2018-10-29,1,2018-10-23,2018-10-23,2018-10-29
20181016,Total,67.02,32.98,20.47,11.62,4.13,1.13,2018-10-16,2018-10-22,1,2018-10-16,2018-10-16,2018-10-22
20181009,Total,62.86,37.14,22.26,12.37,4.72,1.21,2018-10-09,2018-10-15,1,2018-10-09,2018-10-09,2018-10-15
20181002,Total,59.47,40.53,24.58,14.56,6.08,1.45,2018-10-02,2018-10-08,1,2018-10-02,2018-10-02,2018-10-08
20180925,Total,58.63,41.37,25.06,14.92,6.26,1.45,2018-09-25,2018-10-01,1,2018-09-25,2018-09-25,2018-10-01
20180918,Total,57.2,42.8,26.16,14.16,6.03,1.32,2018-09-18,2018-09-24,1,2018-09-18,2018-09-18,2018-09-24
20180911,Total,57.06,42.94,25.79,13.96,5.75,1.23,2018-09-11,2018-09-17,1,2018-09-11,2018-09-11,2018-09-17
20180904,Total,54.28,45.72,29.1,15.76,6.3,1.24,2018-09-04,2018-09-10,1,2018-09-04,2018-09-04,2018-09-10
20180828,Total,52.47,47.53,29.2,16.2,6.26,1.3,2018-08-28,2018-09-03,1,2018-08-28,2018-08-28,2018-09-03
20180821,Total,51.3,48.7,29.76,15.98,6.3,1.34,2018-08-21,2018-08-27,1,2018-08-21,2018-08-21,2018-08-27
20180814,Total,50.54,49.46,30.7,16.73,6.8,1.42,2018-08-14,2018-08-20,1,2018-08-14,2018-08-14,2018-08-20
20180807,Total,53.78,46.22,30.23,17.61,7.46,1.35,2018-08-07,2018-08-13,1,2018-08-07,2018-08-07,2018-08-13
20180731,Total,53.49,46.51,28.95,16.22,7.11,1.35,2018-07-31,2018-08-06,1,2018-07-31,2018-07-31,2018-08-06
20180724,Total,54.17,45.83,27.36,16.14,7.23,1.35,2018-07-24,2018-07-30,1,2018-07-24,2018-07-24,2018-07-30
20180717,Total,57.04,42.96,26.31,14.02,7.21,1.57,2018-07-17,2018-07-23,1,2018-07-17,2018-07-17,2018-07-23
20180710,Total,58.3,41.7,25.38,13.75,7.38,1.58,2018-07-10,2018-07-16,1,2018-07-10,2018-07-10,2018-07-16
20180703,Total,57.96,42.04,24.83,13.91,6.96,1.57,2018-07-03,2018-07-09,1,2018-07-03,2018-07-03,2018-07-09
20180626,Total,58.23,41.77,24.05,13.31,6.92,1.54,2018-06-26,2018-07-02,1,2018-06-26,2018-06-26,2018-07-02
20180619,Total,59.56,40.44,22.67,13.82,6.88,1.53,2018-06-19,2018-06-25,1,2018-06-19,2018-06-19,2018-06-25
20180612,Total,59.8,40.2,23.28,14.18,7.72,1.65,2018-06-12,2018-06-18,1,2018-06-12,2018-06-12,2018-06-18
20180605,Total,60.96,39.04,22.63,14.26,7.66,1.71,2018-06-05,2018-06-11,1,2018-06-05,2018-06-05,2018-06-11
20180529,Total,64.09,35.91,22.08,14.14,7.72,1.75,2018-05-29,2018-06-04,1,2018-05-29,2018-05-29,2018-06-04
20180522,Total,63.48,36.52,22.32,14.07,7.85,2.0,2018-05-22,2018-05-28,1,2018-05-22,2018-05-22,2018-05-28
20180515,Total,60.14,39.86,23.63,13.96,7.94,2.07,2018-05-15,2018-05-21,1,2018-05-15,2018-05-15,2018-05-21
20180508,Total,61.14,38.86,23.12,13.31,7.78,1.93,2018-05-08,2018-05-14,1,2018-05-08,2018-05-08,2018-05-14
20180501,Total,62.55,37.45,23.9,13.64,7.43,1.84,2018-05-01,2018-05-07,1,2018-05-01,2018-05-01,2018-05-07
20180424,Total,62.77,37.23,24.22,13.66,7.1,1.64,2018-04-24,2018-04-30,1,2018-04-24,2018-04-24,2018-04-30
20180417,Total,62.5,37.5,24.54,13.64,6.84,1.43,2018-04-17,2018-04-23,1,2018-04-17,2018-04-17,2018-04-23
20180410,Total,59.42,40.58,25.24,13.94,6.78,1.1,2018-04-10,2018-04-16,1,2018-04-10,2018-04-10,2018-04-16
20180403,Total,58.55,41.45,25.02,13.68,6.34,0.5,2018-04-03,2018-04-09,1,2018-04-03,2018-04-03,2018-04-09
20180327,Total,55.52,44.48,26.14,13.67,6.07,0.46,2018-03-27,2018-04-02,1,2018-03-27,2018-03-27,2018-04-02
20180320,Total,54.89,45.11,26.35,13.94,5.36,0.17,2018-03-20,2018-03-26,1,2018-03-20,2018-03-20,2018-03-26
20180313,Total,52.16,47.84,26.36,13.62,4.74,0.17,2018-03-13,2018-03-19,1,2018-03-13,2018-03-13,2018-03-19
20180306,Total,51.86,48.14,25.96,12.95,4.13,0.1,2018-03-06,2018-03-12,1,2018-03-06,2018-03-06,2018-03-12
20180227,Total,50.03,49.97,26.15,11.96,2.69,0.0,2018-02-27,2018-03-05,1,2018-02-27,2018-02-27,2018-03-05
20180220,Total,46.15,53.85,30.48,14.84,2.69,0.0,2018-02-20,2018-02-26,1,2018-02-20,2018-02-20,2018-02-26
20180213,Total,45.08,54.92,30.37,15.07,2.47,0.0,2018-02-13,2018-02-19,1,2018-02-13,2018-02-13,2018-02-19
20180206,Total,39.68,60.32,33.14,15.41,2.17,0.0,2018-02-06,2018-02-12,1,2018-02-06,2018-02-06,2018-02-12
20180130,Total,38.07,61.93,32.11,14.38,1.44,0.0,2018-01-30,2018-02-05,1,2018-01-30,2018-01-30,2018-02-05
20180123,Total,47.74,52.26,29.58,11.36,0.75,0.0,2018-01-23,2018-01-29,1,2018-01-23,2018-01-23,2018-01-29
20180116,Total,48.99,51.01,27.62,8.38,0.54,0.0,2018-01-16,2018-01-22,1,2018-01-16,2018-01-16,2018-01-22
20180109,Total,51.6,48.4,26.81,7.27,0.39,0.0,2018-01-09,2018-01-15,1,2018-01-09,2018-01-09,2018-01-15
20180102,Total,53.52,46.48,23.18,6.24,0.69,0.0,2018-01-02,2018-01-08,1,2018-01-02,2018-01-02,2018-01-08
20171226,Total,54.23,45.77,22.07,4.14,0.7,0.0,2017-12-26,2018-01-01,1,2017-12-26,2017-12-26,2018-01-01
20171219,Total,52.51,47.49,21.91,5.82,1.07,0.0,2017-12-19,2017-12-25,1,2017-12-19,2017-12-19,2017-12-25
20171212,Total,54.04,45.96,19.96,5.42,1.49,0.0,2017-12-12,2017-12-18,1,2017-12-12,2017-12-12,2017-12-18
20171205,Total,60.14,39.86,20.34,5.01,1.03,0.0,2017-12-05,2017-12-11,1,2017-12-05,2017-12-05,2017-12-11
20171128,Total,64.27,35.73,17.71,4.09,0.86,0.0,2017-11-28,2017-12-04,1,2017-11-28,2017-11-28,2017-12-04
20171121,Total,69.15,30.85,12.91,3.48,0.63,0.0,2017-11-21,2017-11-27,1,2017-11-21,2017-11-21,2017-11-27
20171114,Total,70.65,29.35,10.96,2.95,0.63,0.0,2017-11-14,2017-11-20,1,2017-11-14,2017-11-14,2017-11-20
20171107,Total,72.48,27.52,10.08,2.44,0.63,0.0,2017-11-07,2017-11-13,1,2017-11-07,2017-11-07,2017-11-13
20171031,Total,71.88,28.12,10.06,2.25,0.74,0.0,2017-10-31,2017-11-06,1,2017-10-31,2017-10-31,2017-11-06
20171024,Total,69.49,30.51,10.08,2.18,0.74,0.0,2017-10-24,2017-10-30,1,2017-10-24,2017-10-24,2017-10-30
20171017,Total,68.29,31.71,10.55,2.51,0.69,0.0,2017-10-17,2017-10-23,1,2017-10-17,2017-10-17,2017-10-23
20171010,Total,68.03,31.97,11.91,3.39,0.89,0.22,2017-10-10,2017-10-16,1,2017-10-10,2017-10-10,2017-10-16
20171003,Total,67.38,32.62,12.12,3.98,1.17,0.42,2017-10-03,2017-10-09,1,2017-10-03,2017-10-03,2017-10-09
20170926,Total,68.98,31.02,11.65,4.19,1.97,0.72,2017-09-26,2017-10-02,1,2017-09-26,2017-09-26,2017-10-02
20170919,Total,69.04,30.96,13.07,4.71,2.0,0.72,2017-09-19,2017-09-25,1,2017-09-19,2017-09-19,2017-09-25
20170912,Total,71.59,28.41,13.55,5.24,2.62,1.07,2017-09-12,2017-09-18,1,2017-09-12,2017-09-12,2017-09-18
20170905,Total,73.38,26.62,11.43,4.98,2.36,1.07,2017-09-05,2017-09-11,1,2017-09-05,2017-09-05,2017-09-11
20170829,Total,74.24,25.76,10.0,4.82,2.22,1.01,2017-08-29,2017-09-04,1,2017-08-29,2017-08-29,2017-09-04
20170822,Total,75.19,24.81,10.23,4.61,2.03,0.49,2017-08-22,2017-08-28,1,2017-08-22,2017-08-22,2017-08-28
20170815,Total,74.67,25.33,9.58,4.48,2.05,0.59,2017-08-15,2017-08-21,1,2017-08-15,2017-08-15,2017-08-21
20170808,Total,69.72,30.28,9.63,4.52,1.98,0.63,2017-08-08,2017-08-14,1,2017-08-08,2017-08-08,2017-08-14
20170801,Total,67.99,32.01,11.04,4.39,2.17,0.63,2017-08-01,2017-08-07,1,2017-08-01,2017-08-01,2017-08-07
20170725,Total,66.25,33.75,10.38,4.35,2.19,0.63,2017-07-25,2017-07-31,1,2017-07-25,2017-07-25,2017-07-31
20170718,Total,68.83,31.17,10.03,3.99,1.93,0.19,2017-07-18,2017-07-24,1,2017-07-18,2017-07-18,2017-07-24
20170711,Total,75.54,24.46,9.1,3.6,1.83,0.0,2017-07-11,2017-07-17,1,2017-07-11,2017-07-11,2017-07-17
20170704,Total,76.18,23.82,8.13,3.21,1.19,0.0,2017-07-04,2017-07-10,1,2017-07-04,2017-07-04,2017-07-10
20170627,Total,76.8,23.2,7.75,2.72,0.81,0.0,2017-06-27,2017-07-03,1,2017-06-27,2017-06-27,2017-07-03
20170620,Total,77.54,22.46,7.2,1.78,0.46,0.0,2017-06-20,2017-06-26,1,2017-06-20,2017-06-20,2017-06-26
20170613,Total,77.73,22.27,7.06,1.31,0.0,0.0,2017-06-13,2017-06-19,1,2017-06-13,2017-06-13,2017-06-19
20170606,Total,80.3,19.7,7.5,1.04,0.0,0.0,2017-06-06,2017-06-12,1,2017-06-06,2017-06-06,2017-06-12
20170530,Total,79.29,20.71,4.46,0.94,0.24,0.0,2017-05-30,2017-06-05,1,2017-05-30,2017-05-30,2017-06-05
20170523,Total,82.66,17.34,3.82,1.02,0.35,0.0,2017-05-23,2017-05-29,1,2017-05-23,2017-05-23,2017-05-29
20170516,Total,80.74,19.26,4.73,1.15,0.36,0.0,2017-05-16,2017-05-22,1,2017-05-16,2017-05-16,2017-05-22
20170509,Total,81.96,18.04,4.41,1.1,0.23,0.0,2017-05-09,2017-05-15,1,2017-05-09,2017-05-09,2017-05-15
20170502,Total,82.63,17.37,4.2,1.1,0.1,0.0,2017-05-02,2017-05-08,1,2017-05-02,2017-05-02,2017-05-08
20170425,Total,76.38,23.62,5.15,0.92,0.03,0.0,2017-04-25,2017-05-01,1,2017-04-25,2017-04-25,2017-05-01
20170418,Total,71.96,28.04,6.91,1.24,0.07,0.0,2017-04-18,2017-04-24,1,2017-04-18,2017-04-18,2017-04-24
20170411,Total,72.23,27.77,6.88,1.23,0.07,0.0,2017-04-11,2017-04-17,1,2017-04-11,2017-04-11,2017-04-17
20170404,Total,69.97,30.03,8.26,1.28,0.09,0.0,2017-04-04,2017-04-10,1,2017-04-04,2017-04-04,2017-04-10
20170328,Total,65.12,34.88,11.91,2.39,0.17,0.0,2017-03-28,2017-04-03,1,2017-03-28,2017-03-28,2017-04-03
20170321,Total,64.56,35.44,13.39,3.12,0.36,0.0,2017-03-21,2017-03-27,1,2017-03-21,2017-03-21,2017-03-27
20170314,Total,68.23,31.77,12.74,3.3,0.41,0.0,2017-03-14,2017-03-20,1,2017-03-14,2017-03-14,2017-03-20
20170307,Total,67.44,32.56,12.49,3.34,0.45,0.0,2017-03-07,2017-03-13,1,2017-03-07,2017-03-07,2017-03-13
20170228,Total,66.03,33.97,11.77,3.07,0.41,0.0,2017-02-28,2017-03-06,1,2017-02-28,2017-02-28,2017-03-06
20170221,Total,68.43,31.57,11.52,2.77,0.28,0.0,2017-02-21,2017-02-27,1,2017-02-21,2017-02-21,2017-02-27
20170214,Total,71.99,28.01,11.32,2.65,0.29,0.0,2017-02-14,2017-02-20,1,2017-02-14,2017-02-14,2017-02-20
20170207,Total,72.56,27.44,11.92,2.84,0.29,0.0,2017-02-07,2017-02-13,1,2017-02-07,2017-02-07,2017-02-13
20170131,Total,71.75,28.25,12.15,3.2,0.34,0.0,2017-01-31,2017-02-06,1,2017-01-31,2017-01-31,2017-02-06
20170124,Total,71.05,28.95,13.47,3.72,0.37,0.0,2017-01-24,2017-01-30,1,2017-01-24,2017-01-24,2017-01-30
20170117,Total,65.23,34.77,16.09,5.66,2.0,0.09,2017-01-17,2017-01-23,1,2017-01-17,2017-01-17,2017-01-23
20170110,Total,63.43,36.57,17.4,6.65,2.18,0.09,2017-01-10,2017-01-16,1,2017-01-10,2017-01-10,2017-01-16
20170103,Total,59.71,40.29,18.83,7.21,2.63,0.8,2017-01-03,2017-01-09,1,2017-01-03,2017-01-03,2017-01-09
20161227,Total,56.09,43.91,20.09,8.43,3.78,1.51,2016-12-27,2017-01-02,1,2016-12-27,2016-12-27,2017-01-02
20161220,Total,52.75,47.25,23.53,8.85,3.82,1.58,2016-12-20,2016-12-26,1,2016-12-20,2016-12-20,2016-12-26
20161213,Total,53.21,46.79,24.93,10.78,4.2,1.66,2016-12-13,2016-12-19,1,2016-12-13,2016-12-13,2016-12-19
20161206,Total,52.7,47.3,25.4,11.68,4.43,1.66,2016-12-06,2016-12-12,1,2016-12-06,2016-12-06,2016-12-12
20161129,Total,51.45,48.55,26.29,13.87,7.23,2.24,2016-11-29,2016-12-05,1,2016-11-29,2016-11-29,2016-12-05
20161122,Total,52.54,47.46,26.02,14.26,6.9,2.28,2016-11-22,2016-11-28,1,2016-11-22,2016-11-22,2016-11-28
20161115,Total,55.05,44.95,25.18,12.07,5.35,1.97,2016-11-15,2016-11-21,1,2016-11-15,2016-11-15,2016-11-21
20161108,Total,57.63,42.37,22.86,9.51,4.14,1.59,2016-11-08,2016-11-14,1,2016-11-08,2016-11-08,2016-11-14
20161101,Total,58.42,41.58,22.39,9.15,4.06,1.43,2016-11-01,2016-11-07,1,2016-11-01,2016-11-01,2016-11-07
20161025,Total,61.26,38.74,19.99,8.56,3.41,1.29,2016-10-25,2016-10-31,1,2016-10-25,2016-10-25,2016-10-31
20161018,Total,61.23,38.77,18.47,8.07,3.23,1.09,2016-10-18,2016-10-24,1,2016-10-18,2016-10-18,2016-10-24
20161011,Total,62.71,37.29,16.82,7.25,2.88,1.05,2016-10-11,2016-10-17,1,2016-10-11,2016-10-11,2016-10-17
20161004,Total,63.37,36.63,16.24,6.99,2.63,0.98,2016-10-04,2016-10-10,1,2016-10-04,2016-10-04,2016-10-10
20160927,Total,61.21,38.79,15.84,6.77,2.67,0.97,2016-09-27,2016-10-03,1,2016-09-27,2016-09-27,2016-10-03
20160920,Total,62.35,37.65,15.73,6.48,2.46,0.92,2016-09-20,2016-09-26,1,2016-09-20,2016-09-20,2016-09-26
20160913,Total,63.05,36.95,15.33,6.45,2.39,0.92,2016-09-13,2016-09-19,1,2016-09-13,2016-09-13,2016-09-19
20160906,Total,63.06,36.94,15.96,6.14,2.28,0.92,2016-09-06,2016-09-12,1,2016-09-06,2016-09-06,2016-09-12
20160830,Total,62.3,37.7,16.31,6.07,2.26,0.92,2016-08-30,2016-09-05,1,2016-08-30,2016-08-30,2016-09-05
20160823,Total,62.02,37.98,16.25,6.19,2.26,0.92,2016-08-23,2016-08-29,1,2016-08-23,2016-08-23,2016-08-29
20160816,Total,57.46,42.54,16.62,6.44,2.43,0.92,2016-08-16,2016-08-22,1,2016-08-16,2016-08-16,2016-08-22
20160809,Total,53.79,46.21,18.23,6.85,2.36,0.92,2016-08-09,2016-08-15,1,2016-08-09,2016-08-09,2016-08-15
20160802,Total,54.55,45.45,17.67,6.09,2.41,0.92,2016-08-02,2016-08-08,1,2016-08-02,2016-08-02,2016-08-08
20160726,Total,53.86,46.14,17.38,5.97,2.44,0.92,2016-07-26,2016-08-01,1,2016-07-26,2016-07-26,2016-08-01
