CBSA,CBSA Code,date,OT,Category,Defining Parameter,Defining Site,Number of Sites Reporting,start_date,end_date
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-08-31,143,Unhealthy for Sensitive Groups,CO,36-061-0062,41,1988-08-31,1988-08-31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-01,119,Unhealthy for Sensitive Groups,Ozone,36-061-0063,32,1988-09-01,1988-09-01
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-02,187,Unhealthy,Ozone,34-019-0001,34,1988-09-02,1988-09-02
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-03,214,Very Unhealthy,Ozone,36-061-0063,33,1988-09-03,1988-09-03
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-04,161,Unhealthy,Ozone,36-061-0063,34,1988-09-04,1988-09-04
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-05,63,Moderate,CO,36-061-0082,33,1988-09-05,1988-09-05
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-06,68,Moderate,CO,36-061-0082,44,1988-09-06,1988-09-06
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-07,71,Moderate,NO2,36-061-0056,33,1988-09-07,1988-09-07
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-08,129,Unhealthy for Sensitive Groups,Ozone,34-027-3001,34,1988-09-08,1988-09-08
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-09,102,Unhealthy for Sensitive Groups,NO2,36-061-0056,33,1988-09-09,1988-09-09
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-10,140,Unhealthy for Sensitive Groups,Ozone,34-019-0001,33,1988-09-10,1988-09-10
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-11,62,Moderate,CO,36-061-0062,32,1988-09-11,1988-09-11
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-12,87,Moderate,NO2,36-059-0005,45,1988-09-12,1988-09-12
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-13,115,Unhealthy for Sensitive Groups,CO,36-061-0082,32,1988-09-13,1988-09-13
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-14,70,Moderate,CO,36-061-0082,33,1988-09-14,1988-09-14
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-15,65,Moderate,CO,36-061-0082,29,1988-09-15,1988-09-15
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-16,98,Moderate,NO2,36-061-0010,32,1988-09-16,1988-09-16
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-17,89,Moderate,NO2,34-039-0004,28,1988-09-17,1988-09-17
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-18,85,Moderate,CO,36-061-0082,45,1988-09-18,1988-09-18
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-19,140,Unhealthy for Sensitive Groups,Ozone,36-061-0063,32,1988-09-19,1988-09-19
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-20,62,Moderate,CO,36-061-0082,33,1988-09-20,1988-09-20
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-21,81,Moderate,CO,36-061-0082,31,1988-09-21,1988-09-21
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-22,65,Moderate,CO,36-061-0082,33,1988-09-22,1988-09-22
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-23,97,Moderate,Ozone,34-019-0001,32,1988-09-23,1988-09-23
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-24,71,Moderate,NO2,36-059-0005,38,1988-09-24,1988-09-24
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-25,61,Moderate,CO,36-061-0082,29,1988-09-25,1988-09-25
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-26,81,Moderate,CO,36-061-0082,29,1988-09-26,1988-09-26
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-27,119,Unhealthy for Sensitive Groups,Ozone,36-061-0063,30,1988-09-27,1988-09-27
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-28,115,Unhealthy for Sensitive Groups,Ozone,36-061-0063,33,1988-09-28,1988-09-28
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-29,76,Moderate,CO,36-061-0082,26,1988-09-29,1988-09-29
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-09-30,65,Moderate,NO2,36-061-0056,44,1988-09-30,1988-09-30
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-01,108,Unhealthy for Sensitive Groups,Ozone,34-019-0001,31,1988-10-01,1988-10-01
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-02,67,Moderate,Ozone,36-061-0063,30,1988-10-02,1988-10-02
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-03,101,Unhealthy for Sensitive Groups,CO,34-039-0003,30,1988-10-03,1988-10-03
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-04,57,Moderate,CO,36-061-0082,28,1988-10-04,1988-10-04
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-05,70,Moderate,CO,36-061-0082,29,1988-10-05,1988-10-05
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-06,68,Moderate,CO,36-061-0082,46,1988-10-06,1988-10-06
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-07,65,Moderate,CO,36-047-0071,31,1988-10-07,1988-10-07
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-08,62,Moderate,CO,36-047-0071,32,1988-10-08,1988-10-08
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-09,58,Moderate,CO,36-047-0071,31,1988-10-09,1988-10-09
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-10,62,Moderate,NO2,34-039-0004,32,1988-10-10,1988-10-10
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-11,68,Moderate,CO,36-061-0082,32,1988-10-11,1988-10-11
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-12,59,Moderate,CO,36-061-0082,44,1988-10-12,1988-10-12
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-13,53,Moderate,CO,36-061-0082,33,1988-10-13,1988-10-13
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-14,64,Moderate,CO,36-061-0082,33,1988-10-14,1988-10-14
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-15,99,Moderate,NO2,34-013-0011,30,1988-10-15,1988-10-15
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-16,106,Unhealthy for Sensitive Groups,NO2,34-013-0011,31,1988-10-16,1988-10-16
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-17,85,Moderate,NO2,34-013-1003,31,1988-10-17,1988-10-17
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-18,78,Moderate,CO,36-061-0062,46,1988-10-18,1988-10-18
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-19,73,Moderate,CO,36-047-0071,32,1988-10-19,1988-10-19
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-20,69,Moderate,CO,36-047-0071,34,1988-10-20,1988-10-20
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-21,79,Moderate,CO,36-047-0071,33,1988-10-21,1988-10-21
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-22,63,Moderate,CO,36-061-0082,34,1988-10-22,1988-10-22
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-23,55,Moderate,CO,36-061-0082,33,1988-10-23,1988-10-23
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-24,57,Moderate,CO,36-061-0082,47,1988-10-24,1988-10-24
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-25,73,Moderate,CO,34-039-0003,33,1988-10-25,1988-10-25
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-26,76,Moderate,CO,34-039-0003,33,1988-10-26,1988-10-26
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-27,68,Moderate,CO,34-017-1002,32,1988-10-27,1988-10-27
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-28,87,Moderate,CO,34-039-0003,33,1988-10-28,1988-10-28
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-29,62,Moderate,CO,36-061-0082,33,1988-10-29,1988-10-29
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-30,57,Moderate,CO,36-061-0082,48,1988-10-30,1988-10-30
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-10-31,63,Moderate,NO2,34-003-0001,32,1988-10-31,1988-10-31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-01,85,Moderate,CO,36-047-0071,32,1988-11-01,1988-11-01
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-02,69,Moderate,CO,36-061-0082,30,1988-11-02,1988-11-02
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-03,79,Moderate,CO,36-061-0082,31,1988-11-03,1988-11-03
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-04,103,Unhealthy for Sensitive Groups,NO2,34-017-0006,31,1988-11-04,1988-11-04
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-05,73,Moderate,CO,34-027-0003,46,1988-11-05,1988-11-05
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-06,52,Moderate,CO,36-061-0062,30,1988-11-06,1988-11-06
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-07,60,Moderate,CO,36-061-0082,31,1988-11-07,1988-11-07
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-08,62,Moderate,CO,36-061-0082,31,1988-11-08,1988-11-08
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-09,72,Moderate,NO2,34-013-0011,32,1988-11-09,1988-11-09
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-10,74,Moderate,CO,34-039-0003,30,1988-11-10,1988-11-10
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-11,59,Moderate,CO,36-061-0082,43,1988-11-11,1988-11-11
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-12,64,Moderate,CO,36-061-0062,29,1988-11-12,1988-11-12
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-13,64,Moderate,CO,36-061-0082,31,1988-11-13,1988-11-13
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-14,70,Moderate,NO2,34-013-0011,29,1988-11-14,1988-11-14
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-15,102,Unhealthy for Sensitive Groups,NO2,34-013-1003,31,1988-11-15,1988-11-15
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-16,81,Moderate,NO2,36-059-0005,31,1988-11-16,1988-11-16
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-17,75,Moderate,CO,36-061-0082,41,1988-11-17,1988-11-17
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-18,65,Moderate,CO,36-061-0082,27,1988-11-18,1988-11-18
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-19,66,Moderate,CO,34-039-0003,32,1988-11-19,1988-11-19
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-20,66,Moderate,CO,36-061-0082,31,1988-11-20,1988-11-20
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-21,58,Moderate,CO,36-061-0082,32,1988-11-21,1988-11-21
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-22,104,Unhealthy for Sensitive Groups,NO2,36-059-0005,31,1988-11-22,1988-11-22
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-23,102,Unhealthy for Sensitive Groups,NO2,36-059-0005,44,1988-11-23,1988-11-23
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-24,80,Moderate,CO,36-047-0071,31,1988-11-24,1988-11-24
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-25,102,Unhealthy for Sensitive Groups,NO2,36-059-0005,32,1988-11-25,1988-11-25
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-26,135,Unhealthy for Sensitive Groups,CO,36-061-0062,30,1988-11-26,1988-11-26
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-27,101,Unhealthy for Sensitive Groups,CO,36-061-0062,30,1988-11-27,1988-11-27
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-28,58,Moderate,CO,36-061-0082,31,1988-11-28,1988-11-28
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-29,70,Moderate,PM10,36-061-0077,46,1988-11-29,1988-11-29
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-11-30,77,Moderate,NO2,36-059-0005,31,1988-11-30,1988-11-30
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-01,56,Moderate,CO,36-061-0082,32,1988-12-01,1988-12-01
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-02,62,Moderate,CO,36-061-0082,31,1988-12-02,1988-12-02
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-03,69,Moderate,CO,36-061-0082,30,1988-12-03,1988-12-03
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-04,63,Moderate,CO,36-061-0082,29,1988-12-04,1988-12-04
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-05,64,Moderate,CO,36-061-0082,45,1988-12-05,1988-12-05
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-06,66,Moderate,NO2,36-061-0056,30,1988-12-06,1988-12-06
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-07,79,Moderate,CO,36-061-0082,31,1988-12-07,1988-12-07
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-08,66,Moderate,NO2,34-039-5001,30,1988-12-08,1988-12-08
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-09,71,Moderate,NO2,34-013-1003,31,1988-12-09,1988-12-09
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-10,61,Moderate,CO,36-061-0082,30,1988-12-10,1988-12-10
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-11,53,Moderate,CO,36-061-0082,43,1988-12-11,1988-12-11
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-12,66,Moderate,CO,34-027-0003,28,1988-12-12,1988-12-12
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-13,76,Moderate,CO,36-047-0071,30,1988-12-13,1988-12-13
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-14,66,Moderate,CO,36-061-0082,29,1988-12-14,1988-12-14
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-15,82,Moderate,CO,36-061-0082,30,1988-12-15,1988-12-15
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-16,74,Moderate,CO,36-047-0071,28,1988-12-16,1988-12-16
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-17,74,Moderate,CO,36-047-0071,42,1988-12-17,1988-12-17
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-18,73,Moderate,CO,36-061-0082,29,1988-12-18,1988-12-18
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-19,76,Moderate,CO,34-027-0003,31,1988-12-19,1988-12-19
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-20,75,Moderate,CO,34-027-0003,30,1988-12-20,1988-12-20
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-21,75,Moderate,CO,36-061-0082,31,1988-12-21,1988-12-21
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-22,94,Moderate,CO,36-047-0071,30,1988-12-22,1988-12-22
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-23,90,Moderate,CO,34-039-0003,45,1988-12-23,1988-12-23
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-24,96,Moderate,CO,34-039-0003,30,1988-12-24,1988-12-24
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-25,62,Moderate,CO,36-061-0082,31,1988-12-25,1988-12-25
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-26,52,Moderate,CO,36-061-0082,29,1988-12-26,1988-12-26
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-27,63,Moderate,CO,34-017-1002,30,1988-12-27,1988-12-27
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-28,80,Moderate,CO,36-061-0082,28,1988-12-28,1988-12-28
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-29,62,Moderate,CO,36-061-0082,43,1988-12-29,1988-12-29
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-30,58,Moderate,CO,36-061-0082,29,1988-12-30,1988-12-30
"New York-Newark-Jersey City, NY-NJ-PA",35620,1988-12-31,45,Good,CO,34-017-1002,24,1988-12-31,1988-12-31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-01,45,Good,CO,36-047-0071,27,1989-01-01,1989-01-01
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-02,61,Moderate,CO,34-017-1002,29,1989-01-02,1989-01-02
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-03,59,Moderate,CO,36-047-0071,30,1989-01-03,1989-01-03
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-04,47,Good,CO,36-047-0071,43,1989-01-04,1989-01-04
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-05,56,Moderate,CO,36-061-0082,30,1989-01-05,1989-01-05
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-06,58,Moderate,CO,36-047-0071,31,1989-01-06,1989-01-06
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-07,65,Moderate,CO,34-039-0003,29,1989-01-07,1989-01-07
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-08,66,Moderate,CO,36-061-0082,30,1989-01-08,1989-01-08
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-09,61,Moderate,CO,36-061-0082,29,1989-01-09,1989-01-09
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-10,56,Moderate,CO,34-017-1002,42,1989-01-10,1989-01-10
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-11,53,Moderate,CO,36-061-0082,28,1989-01-11,1989-01-11
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-12,87,Moderate,CO,36-061-0082,29,1989-01-12,1989-01-12
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-13,82,Moderate,CO,36-061-0082,30,1989-01-13,1989-01-13
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-14,66,Moderate,NO2,36-061-0056,31,1989-01-14,1989-01-14
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-15,62,Moderate,CO,36-061-0082,30,1989-01-15,1989-01-15
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-16,59,Moderate,CO,36-061-0082,42,1989-01-16,1989-01-16
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-17,62,Moderate,CO,36-061-0082,29,1989-01-17,1989-01-17
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-18,98,Moderate,NO2,34-017-0006,30,1989-01-18,1989-01-18
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-19,83,Moderate,CO,36-061-0082,30,1989-01-19,1989-01-19
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-20,82,Moderate,NO2,36-061-0056,31,1989-01-20,1989-01-20
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-21,53,Moderate,CO,36-061-0082,29,1989-01-21,1989-01-21
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-22,58,Moderate,NO2,34-013-0011,45,1989-01-22,1989-01-22
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-23,120,Unhealthy for Sensitive Groups,CO,36-061-0082,28,1989-01-23,1989-01-23
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-24,161,Unhealthy,CO,34-039-0003,28,1989-01-24,1989-01-24
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-25,63,Moderate,CO,36-061-0082,28,1989-01-25,1989-01-25
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-26,59,Moderate,CO,34-017-1002,29,1989-01-26,1989-01-26
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-27,68,Moderate,CO,36-061-0082,28,1989-01-27,1989-01-27
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-28,76,Moderate,NO2,34-039-0004,45,1989-01-28,1989-01-28
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-29,72,Moderate,CO,36-061-0082,29,1989-01-29,1989-01-29
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-30,98,Moderate,CO,36-061-0058,31,1989-01-30,1989-01-30
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-01-31,85,Moderate,CO,36-061-0058,29,1989-01-31,1989-01-31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-01,83,Moderate,NO2,36-061-0056,31,1989-02-01,1989-02-01
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-02,79,Moderate,NO2,34-017-0006,30,1989-02-02,1989-02-02
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-03,81,Moderate,CO,36-047-0071,46,1989-02-03,1989-02-03
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-04,61,Moderate,CO,36-047-0071,30,1989-02-04,1989-02-04
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-05,59,Moderate,CO,36-047-0071,31,1989-02-05,1989-02-05
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-06,70,Moderate,NO2,36-061-0056,30,1989-02-06,1989-02-06
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-07,60,Moderate,NO2,36-061-0056,30,1989-02-07,1989-02-07
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-08,52,Moderate,CO,36-061-0082,29,1989-02-08,1989-02-08
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-09,56,Moderate,CO,36-061-0082,47,1989-02-09,1989-02-09
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-10,51,Moderate,CO,36-061-0082,30,1989-02-10,1989-02-10
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-11,54,Moderate,NO2,36-061-0056,30,1989-02-11,1989-02-11
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-12,58,Moderate,NO2,34-003-0001,29,1989-02-12,1989-02-12
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-13,55,Moderate,CO,34-017-1002,30,1989-02-13,1989-02-13
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-14,63,Moderate,NO2,36-061-0056,29,1989-02-14,1989-02-14
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-15,84,Moderate,CO,36-047-0071,45,1989-02-15,1989-02-15
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-16,63,Moderate,CO,36-061-0082,30,1989-02-16,1989-02-16
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-17,53,Moderate,NO2,36-061-0056,30,1989-02-17,1989-02-17
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-18,58,Moderate,NO2,36-061-0056,29,1989-02-18,1989-02-18
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-19,58,Moderate,CO,36-061-0082,30,1989-02-19,1989-02-19
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-20,59,Moderate,CO,36-061-0082,29,1989-02-20,1989-02-20
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-21,80,Moderate,NO2,34-013-1003,45,1989-02-21,1989-02-21
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-22,71,Moderate,CO,36-061-0082,30,1989-02-22,1989-02-22
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-23,57,Moderate,CO,36-061-0082,31,1989-02-23,1989-02-23
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-24,41,Good,CO,36-061-0058,30,1989-02-24,1989-02-24
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-25,54,Moderate,CO,36-061-0082,31,1989-02-25,1989-02-25
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-26,60,Moderate,CO,36-061-0082,28,1989-02-26,1989-02-26
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-27,72,Moderate,CO,36-061-0082,45,1989-02-27,1989-02-27
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-02-28,69,Moderate,NO2,34-013-1003,30,1989-02-28,1989-02-28
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-01,66,Moderate,NO2,36-061-0056,30,1989-03-01,1989-03-01
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-02,90,Moderate,Ozone,36-085-0067,30,1989-03-02,1989-03-02
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-03,71,Moderate,CO,36-047-0071,32,1989-03-03,1989-03-03
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-04,61,Moderate,CO,36-047-0071,31,1989-03-04,1989-03-04
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-05,62,Moderate,CO,36-061-0082,46,1989-03-05,1989-03-05
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-06,54,Moderate,CO,36-061-0082,31,1989-03-06,1989-03-06
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-07,63,Moderate,CO,36-047-0071,31,1989-03-07,1989-03-07
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-08,61,Moderate,CO,36-047-0071,32,1989-03-08,1989-03-08
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-09,71,Moderate,CO,36-047-0071,33,1989-03-09,1989-03-09
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-10,78,Moderate,NO2,34-013-1003,33,1989-03-10,1989-03-10
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-11,90,Moderate,NO2,34-013-0011,48,1989-03-11,1989-03-11
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-12,76,Moderate,NO2,34-039-0004,33,1989-03-12,1989-03-12
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-13,69,Moderate,NO2,36-061-0056,34,1989-03-13,1989-03-13
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-14,101,Unhealthy for Sensitive Groups,NO2,34-039-0004,33,1989-03-14,1989-03-14
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-15,140,Unhealthy for Sensitive Groups,CO,36-061-0082,33,1989-03-15,1989-03-15
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-16,108,Unhealthy for Sensitive Groups,CO,36-061-0082,32,1989-03-16,1989-03-16
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-17,81,Moderate,NO2,36-061-0056,45,1989-03-17,1989-03-17
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-18,88,Moderate,CO,36-061-0062,29,1989-03-18,1989-03-18
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-19,51,Moderate,CO,36-061-0082,29,1989-03-19,1989-03-19
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-20,68,Moderate,NO2,36-061-0056,32,1989-03-20,1989-03-20
"New York-Newark-Jersey City, NY-NJ-PA",35620,1989-03-21,58,Moderate,CO,36-061-0082,33,1989-03-21,1989-03-21
